text,date,author,rating,source_url,verified
"Incredibly easy to set up. Had our team onboarded within a day and the analytics dashboard is exactly what we needed.",2024-04-10,Sarah M.,5,https://example.com/review/1,true
"The mobile app is frustratingly slow and crashes on large exports. Desktop experience is great though.",2024-03-28,James K.,3,,true
"Best project management tool we've used in 5 years. Integrations with Slack and GitHub work flawlessly.",2024-03-15,Priya T.,5,https://example.com/review/3,true
"Pricing jumped 40% at renewal with no notice. Features are good but the billing practices are a dealbreaker.",2024-03-02,Anonymous,2,,false
"Customer support is outstanding. Every ticket resolved within hours and they actually follow up.",2024-02-18,David L.,5,https://example.com/review/5,true
"UI is cluttered and the learning curve is steep. Took our team 2 weeks to feel comfortable.",2024-02-05,Maria C.,3,,true
"Solid core features but the reporting module is barebones compared to competitors. Needs more chart types.",2024-01-22,Tom W.,3,https://example.com/review/7,true
"Switched from a competitor and never looked back. The automation workflows save us 3 hours a week.",2024-01-10,Lisa B.,5,,true
"Constant minor bugs after each update. Nothing show-stopping but it erodes confidence in the platform.",2023-12-20,Ahmed R.,2,https://example.com/review/9,true
"Perfect for small teams. We're 8 people and it handles everything we throw at it without breaking a sweat.",2023-12-05,Nina S.,5,,false
"The API documentation is sparse and outdated. Spent days figuring out webhook payloads from trial and error.",2023-11-18,Chris P.,2,https://example.com/review/11,true
"Genuinely delightful product. The keyboard shortcuts alone make it worth switching from anything else.",2023-11-03,Emma D.,5,,true
"SSO configuration was a nightmare. Took two calls with support and a custom workaround to get it working.",2023-10-22,Kevin H.,2,https://example.com/review/13,true
"Excellent value for the price. We compared 6 tools and this delivered the most for our budget.",2023-10-08,Rachel F.,4,,true
"Offline mode is unreliable — changes don't sync properly when reconnecting. Lost data twice.",2023-09-25,Ben A.,1,https://example.com/review/15,true
